,0
regularMarketChangePercent,1.0
ask,1.0
fiftyDayAverage,1.0
corporateActions,1.0
fiftyTwoWeekHigh,1.0
fiftyTwoWeekLow,1.0
askSize,1.0
bidSize,1.0
bid,1.0
trailingAnnualDividendRate,1.0
averageDailyVolume10Day,1.0
averageVolume10days,1.0
marketState,1.0
regularMarketVolume,1.0
volume,1.0
regularMarketTime,1.0
twoHundredDayAverage,1.0
trailingAnnualDividendYield,1.0
exchange,1.0
fiftyDayAverageChange,1.0
exchangeDataDelayedBy,1.0
quoteType,1.0
sourceInterval,1.0
twoHundredDayAverageChangePercent,1.0
twoHundredDayAverageChange,1.0
fiftyDayAverageChangePercent,1.0
symbol,1.0
currency,1.0
language,1.0
region,1.0
typeDisp,1.0
triggerable,1.0
customPriceAlertConfidence,1.0
tradeable,1.0
regularMarketPrice,1.0
averageVolume,1.0
messageBoardId,1.0
esgPopulated,1.0
fiftyTwoWeekChangePercent,1.0
fiftyTwoWeekHighChangePercent,1.0
fiftyTwoWeekHighChange,1.0
fiftyTwoWeekRange,1.0
fiftyTwoWeekLowChangePercent,1.0
fiftyTwoWeekLowChange,1.0
averageDailyVolume3Month,1.0
fullExchangeName,1.0
regularMarketDayRange,1.0
regularMarketChange,1.0
firstTradeDateMilliseconds,1.0
regularMarketDayHigh,1.0
hasPrePostMarketData,1.0
shortName,1.0
cryptoTradeable,1.0
market,1.0
previousClose,1.0
regularMarketDayLow,1.0
regularMarketOpen,1.0
exchangeTimezoneShortName,1.0
exchangeTimezoneName,1.0
regularMarketPreviousClose,1.0
maxAge,1.0
priceHint,1.0
dayHigh,1.0
dayLow,1.0
gmtOffSetMilliseconds,1.0
open,1.0
currentPrice,0.9996098322278579
recommendationKey,0.9996098322278579
longBusinessSummary,0.9996098322278579
marketCap,0.9996098322278579
sharesOutstanding,0.9996098322278579
executiveTeam,0.9996098322278579
companyOfficers,0.9996098322278579
grossMargins,0.999219664455716
operatingMargins,0.999219664455716
financialCurrency,0.999219664455716
SandP52WeekChange,0.999219664455716
52WeekChange,0.999219664455716
longName,0.999219664455716
ebitdaMargins,0.999219664455716
epsTrailingTwelveMonths,0.999219664455716
sharesShort,0.999219664455716
lastFiscalYearEnd,0.999219664455716
heldPercentInsiders,0.999219664455716
sharesPercentSharesOut,0.999219664455716
dateShortInterest,0.999219664455716
sharesShortPreviousMonthDate,0.999219664455716
sharesShortPriorMonth,0.999219664455716
floatShares,0.999219664455716
profitMargins,0.999219664455716
sectorDisp,0.999219664455716
shortRatio,0.999219664455716
sectorKey,0.999219664455716
sector,0.999219664455716
industryDisp,0.999219664455716
industryKey,0.999219664455716
industry,0.999219664455716
nextFiscalYearEnd,0.999219664455716
mostRecentQuarter,0.999219664455716
netIncomeToCommon,0.999219664455716
country,0.999219664455716
heldPercentInstitutions,0.999219664455716
payoutRatio,0.9988294966835739
quoteSourceName,0.9988294966835739
website,0.9988294966835739
address1,0.9988294966835739
bookValue,0.9988294966835739
city,0.9988294966835739
priceToBook,0.9988294966835739
trailingEps,0.9988294966835739
impliedSharesOutstanding,0.998439328911432
zip,0.9968786578228638
earningsTimestampStart,0.9949278189621538
earningsTimestampEnd,0.9949278189621538
phone,0.9949278189621538
isEarningsDateEstimate,0.9949278189621538
totalDebt,0.9945376511900117
totalCash,0.9921966445571596
totalCashPerShare,0.9921966445571596
enterpriseValue,0.9921966445571596
shortPercentOfFloat,0.9921966445571596
forwardPE,0.9906359734685914
returnOnAssets,0.9828326180257511
earningsTimestamp,0.9824424502536091
forwardEps,0.982052282481467
epsForward,0.982052282481467
compensationAsOfEpochDate,0.981271946937183
targetHighPrice,0.9789309403043308
targetLowPrice,0.9789309403043308
targetMeanPrice,0.9789309403043308
targetMedianPrice,0.9789309403043308
numberOfAnalystOpinions,0.9789309403043308
