ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue
COOP,0.12394,252.025,1.777,0.249,-525000000.0,2220999936.0,0.83521,0.25,1.0,2.22222,1.5166106,8.98,7416547840.0,10.275,3.3392832,0.0,1.063,63985400.0,62857966.0,-0.7000000000000001,
XYL,0.08505,19.323,1.886,1.296,1207000064.0,8597999616.0,0.20086001,0.121309996,0.37544,1.9,2.7301574,3.71,29523343360.0,17.999,3.4337456,0.3989,1.097,243351008.0,241713259.0,1.7999999999999998,2.706621556307395
MBI,,,3.132,3.041,-176000000.0,27000000.0,0.0,-0.42308,0.0,2.5,-0.11516408,-9.31,237749216.0,,8.805527,0.0,1.612,50370600.0,41440469.0,-219.3548387096774,
MAR,,,0.403,0.369,2748999936.0,6617999872.0,0.64339995,0.48406,0.81868,2.48148,-23.246717,8.33,69226012672.0,19.521,10.460262,0.2893,1.389,275372992.0,240863954.0,2.9000000000000004,
ALSN,0.5015,395.899,3.051,2.218,809000000.0,3201999872.0,0.35415,0.27329,0.48126,2.7,15.603241,8.64,8194200576.0,8.733,2.5590885,0.1181,0.964,84254800.0,100944930.0,20.4,5.613577023498695
DHC,-0.13962,143.754,14.349,11.236,80378000.0,1511515008.0,0.15743,-0.01244,0.17584999,2.66667,0.36475104,-1.55,710440000.0,12.707,0.47001848,0.023,,241236000.0,186291521.0,4.3,
AVA,0.07092,121.536,0.851,0.348,534000000.0,1938000000.0,0.30031002,0.18631001,0.58824,2.83333,1.2955639,2.29,3367332864.0,11.133,1.7375299,0.8297,0.399,80289296.0,79347432.0,2.9000000000000004,
BBAI,-1.5002201,56.254,1.663,1.601,-30424000.0,159872000.0,-0.1988,-0.56133,0.28537,2.25,4.4555554,-0.84,887427584.0,-29.525,5.5508633,0.0,3.055,289052000.0,287752777.0,4.9,11.986074747532871
ATI,0.24724,95.505,2.533,1.221,413500000.0,4463600128.0,0.15922,0.12836,0.21326,1.36364,5.0828567,2.76,9519268864.0,15.523,2.133592,0.0,1.014,141068000.0,139294359.0,9.700000000000001,
AWR,0.14062999,101.976,0.817,0.562,198732000.0,595459008.0,0.38902,0.28403,0.59494996,,3.3471556,3.17,3108406272.0,17.093,5.2201853,0.565,0.636,38508500.0,37810106.0,14.299999999999999,
TOL,0.20332001,36.782,4.406,0.269,896374016.0,10758023168.0,0.19646,0.12778,0.28111,1.94737,1.3099345,14.51,10157490176.0,5.986,0.9441781,0.0634,1.443,99437000.0,98686251.0,-4.6,
CABO,-0.01095,200.738,0.364,0.274,615710016.0,1555831040.0,0.4986,0.26617,0.73637,3.5,0.58217853,-3.61,1033680640.0,5.653,0.66439134,4.5736,1.003,5627770.0,5090935.0,-5.8999999999999995,
