,0
symbol,0.0
customPriceAlertConfidence,0.0
triggerable,0.0
fiftyTwoWeekChangePercent,0.0
tradeable,0.0
currency,0.0
trailingAnnualDividendYield,0.0
trailingAnnualDividendRate,0.0
corporateActions,0.0
twoHundredDayAverage,0.0
fiftyTwoWeekHigh,0.0
fiftyTwoWeekLow,0.0
askSize,0.0
bidSize,0.0
ask,0.0
bid,0.0
averageDailyVolume10Day,0.0
messageBoardId,0.0
averageVolume10days,0.0
fiftyTwoWeekHighChangePercent,0.0
fiftyTwoWeekHighChange,0.0
exchangeTimezoneName,0.0
exchangeTimezoneShortName,0.0
gmtOffSetMilliseconds,0.0
market,0.0
esgPopulated,0.0
shortName,0.0
hasPrePostMarketData,0.0
regularMarketTime,0.0
firstTradeDateMilliseconds,0.0
regularMarketDayRange,0.0
fullExchangeName,0.0
quoteType,0.0
averageDailyVolume3Month,0.0
fiftyTwoWeekLowChange,0.0
fiftyTwoWeekLowChangePercent,0.0
fiftyTwoWeekRange,0.0
regularMarketChange,0.0
averageVolume,0.0
fiftyDayAverage,0.0
volume,0.0
regularMarketPrice,0.0
language,0.0
regularMarketChangePercent,0.0
marketState,0.0
cryptoTradeable,0.0
exchangeDataDelayedBy,0.0
sourceInterval,0.0
twoHundredDayAverageChangePercent,0.0
regularMarketVolume,0.0
fiftyDayAverageChangePercent,0.0
maxAge,0.0
priceHint,0.0
previousClose,0.0
twoHundredDayAverageChange,0.0
dayLow,0.0
typeDisp,0.0
fiftyDayAverageChange,0.0
region,0.0
regularMarketDayHigh,0.0
open,0.0
regularMarketOpen,0.0
regularMarketPreviousClose,0.0
regularMarketDayLow,0.0
exchange,0.0
dayHigh,0.0
recommendationKey,0.000390015600624025
currentPrice,0.000390015600624025
companyOfficers,0.000390015600624025
sharesOutstanding,0.000390015600624025
marketCap,0.000390015600624025
longBusinessSummary,0.000390015600624025
executiveTeam,0.000390015600624025
sharesShort,0.00078003120124805
operatingMargins,0.00078003120124805
sharesPercentSharesOut,0.00078003120124805
ebitdaMargins,0.00078003120124805
country,0.00078003120124805
grossMargins,0.00078003120124805
epsTrailingTwelveMonths,0.00078003120124805
longName,0.00078003120124805
heldPercentInsiders,0.00078003120124805
industry,0.00078003120124805
industryKey,0.00078003120124805
industryDisp,0.00078003120124805
sector,0.00078003120124805
sectorKey,0.00078003120124805
heldPercentInstitutions,0.00078003120124805
sectorDisp,0.00078003120124805
SandP52WeekChange,0.00078003120124805
52WeekChange,0.00078003120124805
sharesShortPreviousMonthDate,0.00078003120124805
financialCurrency,0.00078003120124805
shortRatio,0.00078003120124805
profitMargins,0.00078003120124805
floatShares,0.00078003120124805
netIncomeToCommon,0.00078003120124805
mostRecentQuarter,0.00078003120124805
nextFiscalYearEnd,0.00078003120124805
lastFiscalYearEnd,0.00078003120124805
sharesShortPriorMonth,0.00078003120124805
dateShortInterest,0.00078003120124805
quoteSourceName,0.001170046801872075
address1,0.001170046801872075
priceToBook,0.001170046801872075
bookValue,0.001170046801872075
payoutRatio,0.001170046801872075
website,0.001170046801872075
city,0.001170046801872075
trailingEps,0.001170046801872075
impliedSharesOutstanding,0.0015600624024961
zip,0.0031201248049922
earningsTimestampEnd,0.005070202808112325
isEarningsDateEstimate,0.005070202808112325
phone,0.005070202808112325
earningsTimestampStart,0.005070202808112325
totalDebt,0.00546021840873635
enterpriseValue,0.0078003120124804995
shortPercentOfFloat,0.0078003120124804995
totalCash,0.0078003120124804995
totalCashPerShare,0.0078003120124804995
forwardPE,0.0093603744149766
returnOnAssets,0.0171606864274571
earningsTimestamp,0.017550702028081122
forwardEps,0.01794071762870515
epsForward,0.01794071762870515
compensationAsOfEpochDate,0.0187207488299532
numberOfAnalystOpinions,0.02106084243369735
targetMedianPrice,0.02106084243369735
targetMeanPrice,0.02106084243369735
targetLowPrice,0.02106084243369735
targetHighPrice,0.02106084243369735
fullTimeEmployees,0.02379095163806552
grossProfits,0.0265210608424337
totalRevenue,0.0327613104524181
priceToSalesTrailing12Months,0.0327613104524181
revenuePerShare,0.03315132605304212
auditRisk,0.033931357254290175
boardRisk,0.033931357254290175
compensationRisk,0.033931357254290175
shareHolderRightsRisk,0.033931357254290175
overallRisk,0.033931357254290175
governanceEpochDate,0.033931357254290175
enterpriseToRevenue,0.03939157566302652
state,0.041341653666146644
epsCurrentYear,0.04563182527301092
priceEpsCurrentYear,0.046021840873634944
revenueGrowth,0.051092043681747266
beta,0.06513260530421217
returnOnEquity,0.06708268330733229
