,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
roe,-0.12183348857439663,0.05241051642513705,0.43711275385668014,0.07298054404924724,0.3742842884019561,-0.09275190434621286,0.27415681049811036,-0.003887611111117046,-0.18211059055171402,-0.17938059021282968,-0.01423648336148886,0.03811664627863375,-0.22809743603484667,-0.48998411958908406,-0.4401282689742323,-0.07763493283881436,0.050669270229451245,-0.01724420965939782,-0.020374228558315756,-0.003760907416941991,-0.001772089741988033
debt_to_equity,-0.0008172968417172062,-0.01972327396223459,-0.010658053132754615,-0.06357185393952007,-0.25874895827067257,-0.40268618591676314,0.13809936997139952,0.7494088159697755,-0.1887509231720828,-0.3017696108429122,0.1858787248645293,-0.10834307444896848,0.09303225915249488,0.009524347797014367,0.050736216479625666,-0.02976439563661995,-0.017891933761173054,-0.0032000120889814684,0.007427248261098741,0.00923799056740121,0.0023575897479649155
current_ratio,0.0915723858440251,-0.02057293120971988,-0.22358940799292862,0.42552833403187684,-0.022499220457998004,0.23984622019295465,0.4081062994727571,-0.1660407656837134,0.04342168138010226,-0.19739522575752821,0.43786385912539966,-0.43038241964582485,-0.02377499780058484,-0.1654680690405784,0.21476843501731693,0.06626096353882603,0.09744380665238805,-0.03581100406432823,0.005481077957300366,0.027982545285536748,-0.010776534822452288
oper_cash_flow,-0.19319881739925615,0.49209111342315903,-0.10734716678188451,-0.012158941716813724,-0.005418579430103254,-0.012119591433425801,0.007789783922176164,0.01175161888270589,-0.02991163620459364,0.013402842348515121,0.028121695774193847,0.01117805480723572,-0.15673547470938679,0.0684532312094208,0.05851314701416677,-0.052068152049681786,-0.02686655784529714,-0.15497582786033173,-0.5542365371770944,-0.02480483512723739,-0.5818631097383161
ebitda_margin,-0.1605486651772465,0.04527283838073181,0.4745777419971025,0.23801527194098668,-0.2630614681406859,-0.058211530780233646,-0.04970900176330604,-0.022869004782520314,0.09086059164098717,-0.003428006382009289,-0.20974085510214002,0.13233138065715425,-0.03803719687724506,-0.31911596724387475,0.6326155188211869,0.16467104369709748,-0.11850713515711452,-0.002989680024577486,0.002703233970788523,0.009166146957418901,0.014145622784902235
revenue_growth,0.0059957814247931255,-0.01445135845793062,-0.21527230065762254,-0.12908322266122313,0.3237035510205061,0.2450279417911964,0.33526406901091643,0.3322953893799249,0.5670075047267965,-0.20331977643287036,-0.3777950504276023,0.13876476667377077,0.003475985953636092,-0.06486910200712533,0.12901646786299084,-0.0022272096394722195,-0.055122538287106566,-0.01599397885890874,-0.009597505750387803,-0.004579358665575533,0.002604806667462238
operating_margin,-0.02788947485835518,-0.0003046113121011069,0.1333559663642127,-0.5124060169842896,-0.24330504497682523,0.1627528837822521,0.26963517215488325,-0.1994521143299486,0.09077627118067078,-0.17471901975825896,0.4893150418621483,0.48126974113929366,0.07943228606872901,-0.03908462201724182,0.04690575810937522,0.0042586077817697516,0.011455807587676057,-0.025311785141637663,0.0024011093833975704,0.00763098201931554,-0.0002903270030592993
gross_margin,-0.07431795805102212,0.04135132940143012,0.3465366534446319,0.27942437727903513,-0.4152847381566733,0.06942761456441593,-0.03743484179458118,-0.006598657534567612,0.5094434078862514,-0.2051827928122658,-0.008657565599453507,-0.1007334608964595,-0.073762769060465,0.3311210819449661,-0.4202465070738769,-0.10254333874792201,0.013842842271070925,-0.03353326810647091,0.007825782111355942,-0.015215802930902095,-0.014379186104285898
eps,-0.14535466292361457,0.05521317629718991,0.3856290379188055,0.028592206581748998,0.47657929829138856,-0.05818480799895468,0.20880878450545287,-0.039661411124974885,-0.12075816497826133,-0.0734950744301916,0.10853501252585217,-0.0662534418500929,0.14487169906126113,0.6393746470549432,0.25518342003323174,-0.022284715219650014,-0.08244252843014552,0.014772843490763209,0.1091658315880981,-0.005376368084424759,-0.009558673194169934
market_cap,-0.1859481388253297,0.506884000295743,-0.13054429069632115,0.0006879920262935016,-0.02014173878439248,-0.01821377807314014,0.01806727852014662,-0.010731002558932513,-0.02320535576845502,-0.014257295847269204,0.02090352897835586,0.012098297760615762,-0.15270621959802635,0.05814610774144832,0.026879251196690518,-0.05539123713078922,-0.01927549621837945,-0.06627536901279922,-0.2011424070010485,-0.0029766200302185197,0.7830859320477377
