,w_pca_var
roe,0.03089962578674099
debt_to_equity,0.060173380169348215
current_ratio,0.04086492897982996
oper_cash_flow,0.04073844990968983
ebitda_margin,0.02732361515439099
revenue_growth,0.04396134336836995
operating_margin,0.07013408264235553
gross_margin,0.03590457398927453
eps,0.0330034708966739
market_cap,0.036124673012273935
price_to_sales,0.06881119658101079
payout_ratio,0.06206065951004137
hist_volatility,0.08001527796334568
beta,0.000958734061822052
max_drawdown,0.06935865605327979
stddev_returns,0.07692547583855697
value_at_risk,0.07274185608299552
avg_volume_30d,0.02309806578410217
bid_ask_spread,0.0507277807138113
volume_growth,0.05438825711616673
float_shares,0.02178589638591979
