iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","875,930,551.44","5.96","875,930,551.44","2,008,232.00","436.17","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","791,329,808.59","5.39","791,329,808.59","3,978,731.00","198.89","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","719,262,612.18","4.90","719,262,612.18","6,319,299.00","113.82","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","472,320,473.80","3.22","472,320,473.80","2,534,588.00","186.35","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","354,569,481.63","2.41","354,569,481.63","591,669.00","599.27","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","260,639,530.93","1.77","260,639,530.93","1,587,233.00","164.21","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","253,137,819.75","1.72","253,137,819.75","494,265.00","512.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","249,284,404.72","1.70","249,284,404.72","1,241,951.00","200.72","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","217,587,602.70","1.48","217,587,602.70","1,310,374.00","166.05","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","210,333,728.70","1.43","210,333,728.70","750,495.00","280.26","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","191,601,360.72","1.30","191,601,360.72","758,637.00","252.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","177,580,758.42","1.21","177,580,758.42","216,177.00","821.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","162,408,017.12","1.11","162,408,017.12","465,833.00","348.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","131,059,912.02","0.89","131,059,912.02","115,567.00","1,134.06","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","123,581,068.80","0.84","123,581,068.80","220,240.00","561.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","122,624,243.78","0.83","122,624,243.78","1,187,414.00","103.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","121,512,779.70","0.83","121,512,779.70","119,730.00","1,014.89","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","116,447,042.25","0.79","116,447,042.25","1,172,325.00","99.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","101,231,729.97","0.69","101,231,729.97","637,359.00","158.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","101,004,510.00","0.69","101,004,510.00","651,642.00","155.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","100,527,681.73","0.68","100,527,681.73","248,333.00","404.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","96,928,085.61","0.66","96,928,085.61","267,957.00","361.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","93,856,552.23","0.64","93,856,552.23","478,689.00","196.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","75,077,500.20","0.51","75,077,500.20","1,047,106.00","71.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","74,014,601.92","0.50","74,014,601.92","1,799,966.00","41.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","72,758,504.52","0.50","72,758,504.52","420,108.00","173.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","68,728,367.07","0.47","68,728,367.07","555,291.00","123.77","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","68,057,990.05","0.46","68,057,990.05","249,635.00","272.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","65,560,559.05","0.45","65,560,559.05","887,753.00","73.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","64,366,980.66","0.44","64,366,980.66","431,154.00","149.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
