ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue,hist_volatility,sharpe_ratio,max_drawdown,stddev_returns,value_at_risk,avg_volume_30d,volume_growth,turnover_ratio,bid_ask_spread
COOP,0.1239,252.0250,1.7770,0.2490,-525000000.0000,2220999936.0000,0.8352,0.2500,1.0000,2.2222,1.5166,8.9800,7416547840.0000,10.2750,3.3393,0.0000,1.0630,63985400.0000,62857966.0000,-0.7000,,82.7016,-0.1723,-47.8645,2.7979,7.7126,893486.6667,-71.1936,1.4214,2.0906
XYL,0.0851,19.3230,1.8860,1.2960,1207000064.0000,8597999616.0000,0.2009,0.1213,0.3754,1.9000,2.7302,3.7100,29523343360.0000,17.9990,3.4337,0.3989,1.0970,243351008.0000,241713259.0000,1.8000,2.7066,80.2167,0.6345,-39.9844,2.5293,7.3717,2388650.0000,-73.6286,0.9882,4.3265
MBI,,,3.1320,3.0410,-176000000.0000,27000000.0000,0.0000,-0.4231,0.0000,2.5000,-0.1152,-9.3100,237749216.0000,,8.8055,0.0000,1.6120,50370600.0000,41440469.0000,-219.3548,,98.8183,-2.7262,-71.3569,4.2792,10.4319,1044540.0000,-24.8817,2.5206,3.7240
MAR,,,0.4030,0.3690,2748999936.0000,6617999872.0000,0.6434,0.4841,0.8187,2.4815,-23.2467,8.3300,69226012672.0000,19.5210,10.4603,0.2893,1.3890,275372992.0000,240863954.0000,2.9000,,43.2640,-1.4876,-26.0129,1.7365,4.0209,1380356.6667,-43.0610,0.5731,3.0176
ALSN,0.5015,395.8990,3.0510,2.2180,809000000.0000,3201999872.0000,0.3542,0.2733,0.4813,2.7000,15.6032,8.6400,8194200576.0000,8.7330,2.5591,0.1181,0.9640,84254800.0000,100944930.0000,20.4000,5.6136,60.3218,-0.7621,-26.4178,2.2222,5.4796,450343.3333,-10.0679,0.4461,1.9847
DHC,-0.1396,143.7540,14.3490,11.2360,80378000.0000,1511515008.0000,0.1574,-0.0124,0.1758,2.6667,0.3648,-1.5500,710440000.0000,12.7070,0.4700,0.0230,,241236000.0000,186291521.0000,4.3000,,55.5593,-0.6131,-61.1738,2.7170,5.1587,223930.0000,-45.6340,0.1202,4.0090
AVA,0.0709,121.5360,0.8510,0.3480,534000000.0000,1938000000.0000,0.3003,0.1863,0.5882,2.8333,1.2956,2.2900,3367332864.0000,11.1330,1.7375,0.8297,0.3990,80289296.0000,79347432.0000,2.9000,,38.4239,-0.7760,-24.0934,2.0410,3.7791,281726.6667,-63.6403,0.3551,2.6263
BBAI,-1.5002,56.2540,1.6630,1.6010,-30424000.0000,159872000.0000,-0.1988,-0.5613,0.2854,2.2500,4.4556,-0.8400,887427584.0000,-29.5250,5.5509,0.0000,3.0550,289052000.0000,287752777.0000,4.9000,11.9861,79.1362,-0.4446,-30.1811,3.5233,8.3829,309976.6667,-30.7967,0.1077,3.5814
ATI,0.2472,95.5050,2.5330,1.2210,413500000.0000,4463600128.0000,0.1592,0.1284,0.2133,1.3636,5.0829,2.7600,9519268864.0000,15.5230,2.1336,0.0000,1.0140,141068000.0000,139294359.0000,9.7000,,57.9903,-0.2539,-39.6944,2.4713,4.5005,1718376.6667,8.2336,1.2336,3.4211
AWR,0.1406,101.9760,0.8170,0.5620,198732000.0000,595459008.0000,0.3890,0.2840,0.5949,,3.3472,3.1700,3108406272.0000,17.0930,5.2202,0.5650,0.6360,38508500.0000,37810106.0000,14.3000,,44.8679,-0.6546,-35.7377,2.0661,3.8432,349910.0000,-68.5853,0.9254,1.8963
TOL,0.2033,36.7820,4.4060,0.2690,896374016.0000,10758023168.0000,0.1965,0.1278,0.2811,1.9474,1.3099,14.5100,10157490176.0000,5.9860,0.9442,0.0634,1.4430,99437000.0000,98686251.0000,-4.6000,,61.1300,0.2020,-43.4572,2.3522,4.7239,16839440.0000,-50.4555,17.0636,2.1713
CABO,-0.0109,200.7380,0.3640,0.2740,615710016.0000,1555831040.0000,0.4986,0.2662,0.7364,3.5000,0.5822,-3.6100,1033680640.0000,5.6530,0.6644,4.5736,1.0030,5627770.0000,5090935.0000,-5.9000,,45.4535,-1.7334,-36.6642,1.4421,4.6457,3295630.0000,-63.4836,64.7353,1.6859
VTS,0.0435,17.5230,0.7290,0.6330,133073000.0000,225476000.0000,0.6670,0.0787,0.7799,2.0000,1.2078,0.6400,765781248.0000,6.5180,3.3963,3.2422,,38578400.0000,30337195.0000,19.5000,,53.0604,-0.6621,-75.2981,3.5228,5.3714,495126.6667,-12.7945,1.6321,6.2814
DHT,0.1750,39.6650,1.8420,1.2030,298654016.0000,571772992.0000,0.4966,0.2509,0.5484,1.4286,1.7365,1.1200,1810052224.0000,7.5520,3.1657,0.8929,-0.0870,160608000.0000,125986634.0000,-8.4000,,46.4074,-2.9264,-24.6487,2.2376,5.4560,2130080.0000,10.1100,1.6907,5.5046
APAM,0.6080,59.5150,2.7540,2.6250,383692992.0000,1124598016.0000,0.3437,0.3122,0.4673,3.0000,7.8388,3.6400,2794571008.0000,7.7730,2.4850,0.8187,1.6530,70427696.0000,63098970.0000,4.8000,,39.9002,-0.9764,-28.1029,2.1162,4.5757,238953.3333,-48.1924,0.3787,2.0803
RDFN,,,1.1290,0.5320,-32307000.0000,1042979008.0000,-0.1024,-0.1194,0.3492,,-13.7232,-1.3600,1134341376.0000,-19.0270,1.0876,0.0000,2.5000,126389000.0000,121008898.0000,12.0000,14.3076,85.5192,-3.3823,-49.1372,3.0492,11.7579,1799016.6667,83.9721,1.4867,10.5263
CNR,0.1967,13.6290,1.5150,1.2010,476390016.0000,2193231104.0000,0.2528,0.0469,0.2957,,1.3861,9.6100,3950632192.0000,6.7810,1.8013,0.0520,0.6960,53444700.0000,52871027.0000,-8.2000,,37.5949,-1.4684,-17.7500,1.4683,3.9759,2021483.3333,-52.1282,3.8234,1.6008
KREF,0.0233,377.0360,12.7190,12.5990,113991000.0000,97478000.0000,0.0000,-0.5553,0.7638,1.8000,0.6221,0.1700,616698368.0000,,6.3265,5.8824,0.9940,67806304.0000,56515186.0000,-23.3000,,60.0500,-0.4803,-26.7697,2.4137,5.7356,95330.0000,-30.1059,0.1687,4.5158
CMI,0.2619,62.5510,1.3430,0.6770,1208000000.0000,33873000448.0000,0.1491,0.1227,0.2558,2.5417,3.7724,28.3600,41234407424.0000,9.5080,1.2173,0.2467,1.0140,137743008.0000,136895832.0000,-2.7000,4.2085,38.3392,0.3495,-19.9416,1.6089,3.3149,3588366.6667,-58.4636,2.6212,1.3457
IART,,128.5460,,,102369000.0000,1624307968.0000,0.1908,0.0024,0.5838,3.0833,0.6392,-0.3800,988798784.0000,8.8350,0.6088,0.0000,1.2710,77249904.0000,66097079.0000,3.7000,6.4623,46.1313,-2.9665,-64.6308,2.4497,5.5777,621596.6667,-41.7358,0.9404,5.5407
CCB,0.1278,,,,,322160000.0000,0.0000,0.1495,0.0000,1.2500,2.6341,3.3900,1185126400.0000,,3.6787,0.0000,0.9420,15009200.0000,12831837.0000,29.4000,,39.2690,0.3080,-38.5487,2.0191,3.6904,918833.3333,-2.5297,7.1606,2.4561
CVNA,0.8153,444.5820,3.6390,1.8590,918000000.0000,13672999936.0000,0.0947,0.0725,0.2103,2.2917,27.3821,1.5800,30274068480.0000,29.9940,2.2141,0.0000,3.6170,116947000.0000,130158180.0000,46.3000,,65.8605,-1.6745,-27.9733,2.5342,6.4420,1110506.6667,-55.8377,0.8532,2.0468
PPTA,-0.1599,0.0260,7.0140,6.9160,-11890427.0000,,0.0000,0.0000,0.0000,1.6000,9.7418,-0.2200,1075348224.0000,-19.8970,,0.0000,0.7940,71262304.0000,42205546.0000,,,81.8511,-5.2217,-78.9221,3.5714,8.6267,1022660.0000,232.1693,2.4230,10.7675
ANGI,0.0350,51.2940,2.1370,1.9560,155940992.0000,1185112064.0000,0.0933,0.0081,0.9518,2.3000,0.5231,0.7000,535365088.0000,6.2150,0.4517,0.0000,1.8420,47950300.0000,45249309.0000,-10.8000,8.4037,26.7763,-2.0617,-16.8027,1.5542,3.5038,296683.3333,-61.2833,0.6557,1.2297
UMBF,0.0833,,,,532163008.0000,1657117952.0000,0.0000,0.2486,0.0000,2.0000,1.1386,7.9500,7558065664.0000,,4.5610,0.1987,0.7340,75918496.0000,72805120.0000,22.9000,,93.7720,-0.4653,-51.7553,3.2979,8.5751,70090236.6667,-20.3577,96.2710,2.0029
ANDE,0.1096,56.3800,1.6460,0.7700,331505984.0000,11257547776.0000,0.0285,0.0219,0.0616,1.6667,0.8770,3.3200,1212983168.0000,5.6670,0.1077,0.2304,0.7360,34187800.0000,31918050.0000,-2.8000,,71.4257,-1.5571,-36.7257,2.7598,8.4315,356666.6667,-58.0853,1.1174,2.5205
DFH,0.2718,91.8220,6.8420,0.7400,-256648000.0000,4451606016.0000,0.1007,0.1057,0.1933,,1.6594,3.3400,2065399296.0000,7.4140,0.4640,0.0000,1.9510,35985200.0000,27963826.0000,37.1000,,55.5593,-0.6131,-61.1738,2.7170,5.1587,223930.0000,-45.6340,0.8008,4.0090
SNBR,,,0.1940,0.0180,-9228000.0000,1605107968.0000,0.0563,0.0049,0.6025,3.0000,-0.3303,-0.9500,150918256.0000,12.0940,0.0940,0.0000,1.7540,22660400.0000,18850854.0000,-16.4000,2.8271,73.2121,-4.0414,-81.4582,3.7050,10.4529,270083.3333,107.4684,1.4327,18.8976
SEI,0.0707,49.1100,1.6740,1.4120,68214000.0000,371532992.0000,0.3142,0.1746,0.4451,1.1667,2.3513,0.5000,1519070080.0000,12.6790,4.0887,0.9600,1.0150,39747100.0000,31228953.0000,86.1000,,97.5024,2.1531,-46.4660,2.9331,4.6776,2055816.6667,-10.2026,6.5830,2.5605
VTRS,-0.0324,76.7670,1.6470,0.7980,2302899968.0000,14739300352.0000,0.3042,0.1283,0.4165,2.5556,0.5496,-0.5300,10174678016.0000,5.2350,0.6903,9.6000,0.8850,1185859968.0000,1185511981.0000,-8.1000,5.8530,66.5175,-1.5149,-20.3285,2.1831,4.7379,1535743.3333,303.4586,0.1295,11.0598
NVST,-0.3133,38.9150,2.1180,1.6840,296500000.0000,2503899904.0000,0.1077,0.0799,0.5477,2.7143,0.9349,-6.5400,2805009920.0000,11.0550,1.1203,0.0000,0.9770,169468000.0000,168988721.0000,-1.1000,4.1012,47.8651,-0.5187,-29.7319,2.0402,4.3424,497576.6667,-64.8936,0.2944,4.8300
TRST,0.0763,,,,,173999008.0000,0.0000,0.4425,0.0000,,0.8660,2.6800,595641152.0000,,3.4232,0.5373,0.6520,19019700.0000,18415544.0000,10.4000,,79.3183,-2.4699,-28.8398,4.0053,10.4974,768870.0000,-69.3023,4.1751,1.8794
TAP,0.0861,47.2340,0.9350,0.5950,1910300032.0000,11626999808.0000,0.2130,0.1576,0.3899,2.5652,0.8825,5.3500,11532345344.0000,7.0190,0.9919,0.3290,0.7380,190292000.0000,182430422.0000,-2.0000,,41.4157,-1.1376,-20.8297,1.5130,3.2655,455646.6667,-16.4754,0.2498,2.0060
HGV,0.0257,406.2970,3.8250,2.2370,347000000.0000,4446000128.0000,0.1986,0.0867,0.2431,2.2222,2.2231,0.3200,3452141568.0000,11.7940,0.7765,0.0000,1.6100,91666000.0000,45252776.0000,-1.8000,,44.2436,-2.2220,-34.4757,2.3483,5.6099,1224213.3333,-43.4293,2.7053,2.8213
OBK,0.0675,,,,,351348000.0000,0.0000,0.3498,0.0000,1.8000,0.8572,2.4300,1011599488.0000,,2.8792,0.2469,0.7870,31244000.0000,29364054.0000,3.5000,,80.9519,-2.5369,-53.3541,2.9368,9.6257,2311703.3333,-32.3613,7.8726,3.3588
EWBC,0.1566,,,,,2407834112.0000,0.0000,0.6398,0.0000,1.9091,1.5109,8.3800,11980721152.0000,,4.9757,0.2685,0.8990,137800992.0000,136222789.0000,3.6000,,51.2578,-0.5460,-39.5491,2.1489,4.1247,968926.6667,-10.8564,0.7113,2.4440
HEI,0.1554,55.5780,3.4010,1.3050,763752000.0000,3991527936.0000,0.2628,0.2233,0.3910,2.0476,9.7352,4.0500,32055449600.0000,37.5860,8.0324,0.0543,1.0510,55025000.0000,118196864.0000,14.9000,,51.5053,0.4062,-46.8438,2.4868,4.4558,1740900.0000,-63.1092,1.4729,1.7018
